datestamp,spx,cpi
1929-10-15,30.3,1
1929-10-16,29.24,1
1929-10-17,29.69,1
1929-10-18,28.84,1
1929-10-21,27.73,1
1929-10-22,28.27,1
1929-10-23,26.6,1
1929-10-24,25.75,1
1929-10-25,26.12,1
1929-10-28,22.74,1
1929-10-29,20.43,1
1929-10-30,22.99,1
1929-10-31,24.15,1
1929-11-04,22.88,1
1929-11-06,20.61,1
1929-11-07,21.37,1
1929-11-08,21.18,1
1929-11-11,19.86,1
1929-11-12,18.73,1
1929-11-13,17.66,1
1929-11-14,19.24,1
1929-11-15,20.3,1
1929-11-18,20.09,1
1929-11-19,20.7,1
1929-11-20,21.27,1
1929-11-21,21.61,1
1929-11-22,21.53,1
1929-11-25,21.28,1
1929-11-26,20.66,1
1929-11-27,20.92,1
1929-12-02,20.95,1
1929-12-03,21.65,1
1929-12-04,22.05,1
1929-12-05,21.87,1
1929-12-06,22.45,1
1929-12-09,22.4,1
1929-12-10,22.57,1
1929-12-11,22.38,1
1929-12-12,21.17,1
1929-12-13,21.7,1
1929-12-16,21.33,1
1929-12-17,21.56,1
1929-12-18,21.42,1
1929-12-19,20.85,1
1929-12-20,20.16,1
1929-12-23,20.26,1
1929-12-24,20.39,1
1929-12-26,20.84,1
1929-12-27,20.82,1
1929-12-30,20.89,1
1929-12-31,21.45,1
1930-01-02,21.18,1
1930-01-03,21.23,1
1930-01-06,21.5,1
1930-01-07,21.31,1
1930-01-08,21.29,1
1930-01-09,21.62,1
1930-01-10,21.55,1
1930-01-13,21.52,1
1930-01-14,21.56,1
1930-01-15,21.65,1
1930-01-16,21.5,1
1930-01-17,21.31,1
1930-01-20,21.5,1
1930-01-21,21.61,1
1930-01-22,21.63,1
1930-01-23,21.84,1
1930-01-24,22.04,1
1930-01-27,22.21,1
1930-01-28,22.1,1
1930-01-29,22.35,1
1930-01-30,22.47,1
1930-01-31,22.79,1
1930-02-03,22.74,1
1930-02-04,23.01,1
1930-02-05,23.31,1
1930-02-06,23.06,1
1930-02-07,22.97,1
1930-02-10,23.12,1
1930-02-11,23.32,1
1930-02-13,23.36,1
1930-02-14,23.35,1
1930-02-17,23.26,1
1930-02-18,23.28,1
1930-02-19,23.07,1
1930-02-20,22.64,1
1930-02-21,22.92,1
1930-02-24,22.68,1
1930-02-25,22.69,1
1930-02-26,23.11,1
1930-02-27,23.08,1
1930-02-28,23.28,1
1930-03-03,23.36,1
1930-03-04,23.54,1
1930-03-05,23.36,1
1930-03-06,23.59,1
1930-03-07,23.59,1
1930-03-10,23.67,1
1930-03-11,23.72,1
1930-03-12,23.46,1
1930-03-13,23.6,1
1930-03-14,23.45,1
1930-03-17,23.67,1
1930-03-18,23.9,1
1930-03-19,24.03,1
1930-03-20,24.14,1
1930-03-21,24.29,1
1930-03-24,24.28,1
1930-03-25,24.25,1
1930-03-26,24.62,1
1930-03-27,24.57,1
1930-03-28,24.85,1
1930-03-31,25.14,1
1930-04-01,25.37,1
1930-04-02,25.11,1
1930-04-03,25.16,1
1930-04-04,25.54,1
1930-04-07,25.6,1
1930-04-08,25.46,1
1930-04-09,25.87,1
1930-04-10,25.92,1
1930-04-11,25.84,1
1930-04-14,25.73,1
1930-04-15,25.74,1
1930-04-16,25.56,1
1930-04-17,25.75,1
1930-04-21,25.29,1
1930-04-22,25.5,1
1930-04-23,25.55,1
1930-04-24,25.35,1
1930-04-25,25.32,1
1930-04-28,24.76,1
1930-04-29,24.73,1
1930-04-30,24.9,1
1930-05-01,24.3,1
1930-05-02,23.57,1
1930-05-05,22.98,1
1930-05-06,23.76,1
1930-05-07,23.31,1
1930-05-08,23.4,1
1930-05-09,23.69,1
1930-05-12,24.09,1
1930-05-13,24.42,1
1930-05-14,24.57,1
1930-05-15,24.17,1
1930-05-16,24.28,1
1930-05-19,23.75,1
1930-05-20,23.86,1
1930-05-21,23.74,1
1930-05-22,23.79,1
1930-05-23,24.03,1
1930-05-26,24.23,1
1930-05-27,24.24,1
1930-05-28,24.38,1
1930-05-29,24.49,1
1930-06-02,24.4,1
1930-06-03,24.18,1
1930-06-04,24.29,1
1930-06-05,23.91,1
1930-06-06,23.52,1
1930-06-09,22.38,1
1930-06-10,23.01,1
1930-06-11,22.2,1
1930-06-12,22.13,1
1930-06-13,22.26,1
1930-06-16,20.56,1
1930-06-17,20.58,1
1930-06-18,19.86,1
1930-06-19,20.79,1
1930-06-20,20.25,1
1930-06-23,20.09,1
1930-06-24,19.39,1
1930-06-25,19.54,1
1930-06-26,20,1
1930-06-27,19.81,1
1930-06-30,20.46,1
1930-07-01,20.24,1
1930-07-02,20.46,1
1930-07-03,20.25,1
1930-07-07,19.83,1
1930-07-08,19.97,1
1930-07-09,20.26,1
1930-07-10,20.77,1
1930-07-11,20.55,1
1930-07-14,21.36,1
1930-07-15,21.32,1
1930-07-16,21.48,1
1930-07-17,21.58,1
1930-07-18,21.77,1
1930-07-21,20.94,1
1930-07-22,21.32,1
1930-07-23,21.66,1
1930-07-24,21.38,1
1930-07-25,21.5,1
1930-07-28,21.82,1
1930-07-29,21.65,1
1930-07-30,21.08,1
1930-07-31,21.21,1
1930-08-01,21.11,1
1930-08-04,21.52,1
1930-08-05,21.52,1
1930-08-06,21.18,1
1930-08-07,21.06,1
1930-08-08,20.27,1
1930-08-11,20.4,1
1930-08-12,19.88,1
1930-08-13,20.15,1
1930-08-14,20.16,1
1930-08-15,20.7,1
1930-08-18,20.54,1
1930-08-19,20.74,1
1930-08-20,20.85,1
1930-08-21,20.64,1
1930-08-22,20.79,1
1930-08-25,20.68,1
1930-08-26,20.98,1
1930-08-27,21.14,1
1930-08-28,21.13,1
1930-08-29,21.37,1
1930-09-02,21.38,1
1930-09-03,21.17,1
1930-09-04,21.02,1
1930-09-05,21.34,1
1930-09-08,21.63,1
1930-09-09,21.76,1
1930-09-10,21.86,1
1930-09-11,21.72,1
1930-09-12,21.5,1
1930-09-15,21.19,1
1930-09-16,21.22,1
1930-09-17,21.29,1
1930-09-18,21.06,1
1930-09-19,20.68,1
